text	feature	feature explanation			
sobering					
mindblown		hashtag			
wtf		also separated by spaces			
really	isFollowedByAnOpinion	plus negative or positive opinion			
man,		beginning of sentence			
simply	isFollowedByAnOpinion	plus negative or positive opinion			
omg		also separated by spaces			
how	isFollowedByAnOpinion	followed by a positive or negative opinion			
super	isFollowedByAnOpinion	followed by a positive or negative opinion			
v	isFollowedByAnOpinion				
fucking	isFollowedByAnOpinion	
genius	isFollowedByAnOpinion	
geniusly	isFollowedByAnOpinion	
aww		
awww		
awwww		
so	isFollowedByAnOpinion	
incredibly	isFollowedByAnOpinion	
completely	isFollowedByAnOpinion	
always	isFollowedByAnOpinion	
exactly	isFollowedByAnOpinion	
ultra	isFollowedByAnOpinion	
