text	feature	
love 	isPrecededByANegation	
liked		
enjoy!		
worth a read	isPrecededByANegation	
scorching response to		
perfect Christmas present		
perfect present	isPrecededByANegation	
congrats to		
great 	isPrecededByANegation	
amusing	isPrecededByANegation	
nice	isPrecededByANegation	
wow		
impressive	isPrecededByANegation	
cool	isPrecededByANegation	
interesting	isPrecededByANegation	
cute	isPrecededByANegation	
awsome	isPrecededByANegation	
awesome	isPrecededByANegation	
amazing	isPrecededByANegation	
is a livesaver		
brilliant	isPrecededByANegation	
happy	isPrecededByANegation	
has something for everyone		
we're honored		
we are honored		
funny	isPrecededByANegation	
mind blown		
mind blowing	isPrecededByANegation	
mindblown		
mindblowing	isPrecededByANegation	
the easiest way to	isPrecededByANegation	
seamless	isPrecededByANegation	
thanks	isPrecededByANegation	
thank you	isPrecededByANegation	
racing with ideas		
:-)	isContainedInTweet	
;-)	isContainedInTweet	
:)	isContainedInTweet	
;)	isContainedInTweet	
...:-)	isContainedInTweet	
...;-)	isContainedInTweet	
...:)	isContainedInTweet	
...;)	isContainedInTweet	
big fan	isPrecededByANegation	
admire	isPrecededByANegation	
love	isPrecededByANegation	
lol	IsNotAllCaps	
popular	isPrecededByANegation	
proud	isPrecededByANegation	
that worked		
fave	isPrecededByANegation	
hottest	isPrecededByANegation	
have you covered		
has you covered		
glad	isPrecededByANegation	
lovely	isPrecededByANegation	
jolly	isPrecededByANegation	
one of the few	isPrecededByANegation	
acceptable	isPrecededByANegation	
wonderful		
woohoo		
excited	isPrecededByANegation		
successful	isPrecededByANegation		
nice	isPrecededByANegation		
leveraging	isPrecededByANegation	
enhance	isPrecededByANegation	
enhancing	isPrecededByANegation	
enhances	isPrecededByANegation	
safer	isPrecededByANegation	
inspiring	isPrecededByANegation
lightning fast	isPrecededByANegation	
best	isPrecededByANegation	
beautiful	isPrecededByANegation	
valuable	isPrecededByANegation	
harnessed	isPrecededByANegation	
harnesses	isPrecededByANegation	
crazy about	isPrecededByANegation	
excite	isPrecededByANegation	
celebrate	isPrecededByANegation	
welcome	isPrecededByANegation	
smart	isPrecededByANegation	
cohesive	isPrecededByANegation	
among the top		
merry	isPrecededByANegation	
thank	isPrecededByANegation	
thx	isPrecededByANegation	
leg up		
ftw		
always a pleasure		
gold	isPrecededByANegation,isAllCaps	
care about	isPrecededByANegation	
stunningly		
stunning	isPrecededByANegation	
good read	isPrecededByANegation	
funny	isPrecededByANegation	
